846; 6
873; 7
896; 10
919; 7
942; 0
965; 1
988; 0
1011; 0
1034; 0
1057; 0
1080; 1
1103; 0
1126; 0
1149; 0
1172; 0
1195; 0
1218; 0
1241; 0
1264; 0
1287; 0
1310; 0
1333; 0
1356; 0
1380; 0
1403; 0
1426; 0
1449; 0
1472; 1
1495; 0
1518; 0
1541; 0
1564; 0
1587; 0
1610; 0
1633; 1
1656; 0
1679; 0
1702; 0
1725; 0
1748; 0
1771; 0
1794; 0
1817; 0
1840; 0
1863; 0
1889; 0
1914; 0
1937; 0
1960; 0
1983; 0
2006; 0
2029; 0
2052; 0
2075; 0
2098; 0
2121; 0
2144; 0
2167; 0
2190; 1
2214; 0
2237; 0
2260; 0
2284; 0
2307; 0
2330; 0
2354; 0
2377; 0
2401; 0
2424; 0
2447; 1
2470; 0
2494; 1
2517; 99
2541; 142
2564; 346
2587; 631
2611; 779
2634; 815
2657; 794
2681; 731
2704; 648
2727; 441
2751; 244
2774; 101
2797; 72
2821; 0
2844; 0
2868; 0
2891; 0
2914; 0
2937; 0
2961; 1
2984; 0
3008; 0
3031; 0
3054; 1
3078; 0
3101; 49
3124; 126
3148; 349
3171; 580
3194; 761
3218; 886
3241; 970
3264; 1014
3288; 1023
3311; 1023
3335; 1010
3358; 936
3381; 818
3404; 597
3428; 349
3451; 119
3475; 47
3498; 6
3521; 0
3545; 0
3568; 0
3591; 0
3615; 0
3638; 0
3661; 0
3685; 0
3708; 0
3731; 1
3755; 114
3778; 410
3802; 601
3825; 742
3848; 895
3871; 969
3895; 1004
3918; 1008
3942; 983
3965; 887
3988; 721
4012; 472
4035; 130
4058; 0
4082; 0
4105; 0
4128; 0
4152; 0
4175; 1
4198; 0
4222; 0
4245; 0
4269; 0
4292; 0
4315; 0
4338; 0
4362; 0
4385; 0
4409; 0
4432; 0
